Date,Open,High,Low,Close,Adj_Close,Volume
2024-11-10,4530.53,4505.4,4489.43,4500.0,4500.0,3562720116
2024-11-11,4411.69,4424.96,4303.56,4420.12,4420.12,3259838554
2024-11-12,4429.39,4498.51,4411.0,4430.87,4430.87,3030396633
2024-11-13,4438.23,4471.28,4437.86,4452.56,4452.56,2808327431
2024-11-14,4527.2,4518.86,4454.04,4516.32,4516.32,3941441154
2024-11-15,4481.46,4528.58,4491.07,4512.63,4512.63,2239545871
2024-11-16,4449.01,4469.27,4393.52,4451.95,4451.95,2256379366
2024-11-17,4394.97,4456.9,4397.52,4420.6,4420.6,2844716882
2024-11-18,4439.24,4488.61,4374.14,4446.7,4446.7,1987847862
2024-11-19,4458.79,4479.36,4440.81,4445.17,4445.17,3227854316
2024-11-20,4455.34,4510.35,4453.38,4459.8,4459.8,2993564935
2024-11-21,4448.7,4452.94,4430.13,4446.29,4446.29,3433216740
2024-11-22,4538.71,4539.2,4452.8,4531.65,4531.65,3739155167
2024-11-23,4629.42,4647.75,4583.5,4612.22,4612.22,3592088564
2024-11-24,4591.35,4700.57,4548.77,4571.56,4571.56,3527194019
2024-11-25,4639.32,4680.5,4573.46,4615.4,4615.4,3303349211
2024-11-26,4637.31,4697.79,4597.75,4631.74,4631.74,2892232518
2024-11-27,4661.98,4696.22,4598.48,4634.69,4634.69,3510308456
2024-11-28,4616.53,4624.86,4585.01,4597.16,4597.16,3002749171
2024-11-29,4672.72,4719.62,4669.42,4674.0,4674.0,2503229905
2024-11-30,4736.42,4772.33,4726.53,4730.8,4730.8,2609545696
2024-12-01,4660.78,4669.59,4625.79,4664.24,4664.24,2817329215
2024-12-02,4741.51,4836.81,4713.77,4731.1,4731.1,3373118966
2024-12-03,4717.84,4738.6,4704.32,4731.65,4731.65,3724104275
2024-12-04,4705.82,4766.76,4694.43,4705.73,4705.73,2380188464
2024-12-05,4670.66,4712.45,4652.57,4662.13,4662.13,2279663002
2024-12-06,4708.68,4740.59,4702.61,4708.51,4708.51,2291094116
2024-12-07,4729.02,4764.17,4703.08,4729.69,4729.69,3402090500
2024-12-08,4678.06,4692.38,4595.2,4690.71,4690.71,3120242874
2024-12-09,4656.23,4676.58,4609.9,4655.01,4655.01,2902559121
2024-12-10,4658.76,4652.09,4615.93,4639.3,4639.3,3144086914
2024-12-11,4595.89,4645.41,4546.3,4617.84,4617.84,2869401589
2024-12-12,4645.59,4648.62,4574.6,4644.52,4644.52,1822097043
2024-12-13,4646.93,4699.68,4597.81,4664.44,4664.44,3262172176
2024-12-14,4638.74,4712.13,4539.56,4637.12,4637.12,2951453459
2024-12-15,4565.87,4619.75,4561.22,4562.58,4562.58,2922049909
2024-12-16,4511.09,4524.34,4485.02,4503.99,4503.99,2363430877
2024-12-17,4545.03,4583.21,4517.73,4545.43,4545.43,3172830308
2024-12-18,4500.13,4601.81,4487.85,4502.49,4502.49,2642559612
2024-12-19,4514.36,4556.43,4508.02,4509.74,4509.74,2999660417
2024-12-20,4437.45,4459.1,4409.05,4432.48,4432.48,3001916543
2024-12-21,4426.6,4458.68,4433.05,4452.3,4452.3,2982963685
2024-12-22,4511.52,4586.78,4520.45,4539.99,4539.99,2307482471
2024-12-23,4483.76,4487.57,4451.9,4481.96,4481.96,2990768916
2024-12-24,4511.49,4527.74,4469.84,4508.84,4508.84,3034465847
2024-12-25,4526.11,4526.72,4481.66,4523.38,4523.38,2701984232
2024-12-26,4568.85,4581.26,4566.62,4567.16,4567.16,3668207585
2024-12-27,4549.49,4642.77,4544.33,4563.45,4563.45,2728559243
2024-12-28,4572.58,4599.71,4537.77,4578.18,4578.18,2542911709
2024-12-29,4603.05,4608.64,4557.89,4588.8,4588.8,2681141394
2024-12-30,4615.92,4634.88,4544.35,4617.38,4617.38,3359257253
2024-12-31,4577.63,4651.21,4564.82,4580.95,4580.95,2297019532
2025-01-01,4606.02,4604.84,4560.75,4592.05,4592.05,3121605855
2025-01-02,4655.04,4673.5,4603.61,4631.56,4631.56,2868800712
2025-01-03,4687.79,4723.25,4674.86,4687.97,4687.97,2738259235
2025-01-04,4708.83,4749.21,4690.9,4713.56,4713.56,2990087378
2025-01-05,4643.06,4731.99,4645.25,4662.56,4662.56,2861334221
2025-01-06,4586.33,4611.34,4568.73,4592.45,4592.45,2976521026
2025-01-07,4615.08,4684.8,4543.42,4613.51,4613.51,3432104635
2025-01-08,4550.49,4595.55,4565.91,4569.15,4569.15,2195610431
2025-01-09,4591.86,4645.61,4597.24,4610.01,4610.01,2763310525
2025-01-10,4613.51,4629.15,4571.4,4599.05,4599.05,2748001574
2025-01-11,4661.82,4674.71,4630.17,4647.88,4647.88,2812720719
2025-01-12,4778.03,4796.88,4735.54,4749.0,4749.0,2140163048
2025-01-13,4765.84,4823.67,4679.69,4748.42,4748.42,3042900321
2025-01-14,4732.07,4764.42,4704.53,4745.29,4745.29,3340877978
2025-01-15,4795.37,4820.22,4789.11,4795.75,4795.75,2564359401
2025-01-16,4835.97,4853.17,4803.79,4849.17,4849.17,3260568757
2025-01-17,4949.82,4954.41,4861.2,4934.11,4934.11,2313026421
2025-01-18,4934.59,4966.79,4890.91,4946.28,4946.28,3471276711
2025-01-19,4945.25,4937.04,4915.3,4917.45,4917.45,3567895330
2025-01-20,4920.68,4926.98,4890.57,4920.28,4920.28,3824804864
2025-01-21,4913.26,5000.76,4864.18,4892.06,4892.06,2211086106
2025-01-22,4921.56,4937.55,4885.42,4906.24,4906.24,2583795587
2025-01-23,4856.89,4875.63,4777.93,4866.09,4866.09,2991498208
2025-01-24,4904.91,4924.43,4772.81,4912.42,4912.42,3010425508
2025-01-25,4962.48,5003.68,4858.25,4949.14,4949.14,3452726417
2025-01-26,4949.03,5024.21,4877.18,4958.49,4958.49,3833512893
2025-01-27,4964.2,5033.6,4925.93,4962.24,4962.24,2849091272
2025-01-28,4950.35,4982.45,4940.36,4954.97,4954.97,2800339800
2025-01-29,5025.68,5030.39,4964.13,5022.47,5022.47,3034475962
2025-01-30,5106.48,5157.46,5073.53,5084.62,5084.62,2662093852
2025-01-31,5093.53,5124.18,5080.66,5094.57,5094.57,2678380382
2025-02-01,5059.59,5065.88,5020.6,5053.48,5053.48,2587615925
2025-02-02,4973.22,5025.84,4876.76,4996.53,4996.53,1813939311
2025-02-03,5002.71,5060.44,4973.63,5013.4,5013.4,3288740543
2025-02-04,4997.15,5033.72,4973.9,4983.92,4983.92,1865249113
2025-02-05,5008.64,5054.45,4967.58,5010.13,5010.13,3501768281
2025-02-06,5022.34,5067.71,4894.26,4993.26,4993.26,3027762764
2025-02-07,4994.0,5038.99,5032.98,5034.4,5034.4,3349078390
2025-02-08,5025.83,5168.46,5016.27,5047.36,5047.36,2502654151
2025-02-09,5107.94,5145.57,5013.19,5100.25,5100.25,3319064316
2025-02-10,4974.74,5009.0,4935.91,4988.87,4988.87,3340369242
2025-02-11,4991.78,4986.82,4889.99,4980.04,4980.04,3708364846
2025-02-12,5113.79,5095.8,5079.38,5092.92,5092.92,2902134118
2025-02-13,4960.67,4996.0,4894.04,4967.99,4967.99,3933500315
2025-02-14,5012.24,5073.17,5003.84,5012.33,5012.33,3494819660
2025-02-15,5037.97,5043.46,4974.66,5035.79,5035.79,3087755127
2025-02-16,5092.45,5106.26,5087.36,5103.05,5103.05,3077536041
2025-02-17,5093.02,5175.91,5052.37,5096.75,5096.75,3301268782
2025-02-18,5175.8,5172.73,5134.67,5159.96,5159.96,4210116635
2025-02-19,5225.94,5238.04,5194.31,5225.34,5225.34,3099213002
2025-02-20,5233.79,5269.46,5193.05,5238.23,5238.23,3363467287
2025-02-21,5175.54,5186.71,5113.71,5179.88,5179.88,3070127801
2025-02-22,5229.69,5246.51,5167.92,5229.76,5229.76,2481698058
2025-02-23,5191.42,5266.73,5125.3,5181.47,5181.47,3830973763
2025-02-24,5179.72,5184.31,5169.87,5176.94,5176.94,2731980911
2025-02-25,5247.07,5262.73,5203.01,5228.55,5228.55,3301904179
2025-02-26,5291.06,5311.05,5263.16,5288.26,5288.26,2718323858
2025-02-27,5291.41,5334.33,5231.35,5272.5,5272.5,3126809218
2025-02-28,5317.93,5337.88,5301.48,5308.2,5308.2,2729926609
2025-03-01,5246.05,5266.36,5138.7,5228.97,5228.97,3293961230
2025-03-02,5175.21,5244.34,5175.02,5206.89,5206.89,3054804063
2025-03-03,5248.69,5312.4,5279.59,5285.97,5285.97,2937596792
2025-03-04,5357.96,5370.74,5301.34,5359.63,5359.63,2739908972
2025-03-05,5409.07,5423.59,5356.46,5398.18,5398.18,2893013603
2025-03-06,5360.18,5412.03,5271.76,5393.22,5393.22,2582274981
2025-03-07,5416.89,5446.72,5401.29,5441.61,5441.61,2981584665
2025-03-08,5437.21,5444.6,5369.08,5443.07,5443.07,2882668254
2025-03-09,5465.49,5491.33,5310.18,5454.94,5454.94,2585823518
2025-03-10,5447.43,5567.37,5394.82,5462.49,5462.49,2319094419
2025-03-11,5396.75,5426.59,5370.43,5422.86,5422.86,3318791857
2025-03-12,5480.3,5546.42,5328.13,5464.94,5464.94,3895204092
2025-03-13,5420.09,5414.09,5369.36,5409.2,5409.2,4177617770
2025-03-14,5446.69,5505.15,5431.83,5453.87,5453.87,3027086618
2025-03-15,5406.52,5412.71,5402.46,5404.21,5404.21,3989002190
2025-03-16,5378.64,5385.28,5320.68,5367.89,5367.89,3178222366
2025-03-17,5190.67,5229.37,5173.48,5218.08,5218.08,3769945287
2025-03-18,5212.35,5249.94,5204.7,5212.54,5212.54,3109953350
2025-03-19,5246.41,5270.13,5198.21,5225.01,5225.01,3857490511
2025-03-20,5262.6,5331.13,5194.86,5270.84,5270.84,3488618517
2025-03-21,5352.18,5459.05,5313.88,5342.57,5342.57,3613964499
2025-03-22,5296.51,5273.84,5204.12,5265.62,5265.62,2565899600
2025-03-23,5320.99,5356.83,5303.17,5320.11,5320.11,2541328285
2025-03-24,5312.48,5389.55,5267.85,5298.09,5298.09,2978398060
2025-03-25,5288.65,5299.21,5224.2,5296.92,5296.92,2821881314
2025-03-26,5308.4,5321.32,5243.47,5293.99,5293.99,2528855754
2025-03-27,5286.82,5327.33,5230.74,5272.84,5272.84,3441296840
2025-03-28,5202.65,5247.93,5210.41,5228.55,5228.55,3159514334
2025-03-29,5240.8,5325.68,5199.83,5245.76,5245.76,3121148406
2025-03-30,5273.26,5299.58,5289.34,5290.94,5290.94,2915601205
2025-03-31,5235.47,5227.61,5213.52,5226.93,5226.93,3240168825
2025-04-01,5208.14,5245.24,5197.03,5228.53,5228.53,2498792014
2025-04-02,5215.03,5238.15,5151.66,5198.25,5198.25,2601744401
2025-04-03,5247.98,5316.18,5175.14,5257.82,5257.82,3207855377
2025-04-04,5292.22,5341.26,5221.05,5286.4,5286.4,3533052133
2025-04-05,5350.93,5408.88,5327.88,5368.8,5368.8,3345904938
2025-04-06,5279.91,5367.17,5210.27,5288.33,5288.33,2558856296
2025-04-07,5323.82,5351.86,5259.01,5345.67,5345.67,2243363499
2025-04-08,5329.73,5463.94,5349.31,5357.04,5357.04,3595450050
2025-04-09,5359.07,5410.84,5316.25,5320.87,5320.87,3116750406
2025-04-10,5372.56,5373.9,5324.35,5349.56,5349.56,3396404529
2025-04-11,5412.05,5543.66,5336.52,5436.01,5436.01,2703696236
2025-04-12,5512.32,5594.97,5486.47,5525.96,5525.96,2439746149
2025-04-13,5603.92,5695.09,5492.26,5574.15,5574.15,3839200717
2025-04-14,5506.3,5522.82,5512.8,5521.67,5521.67,3074188345
2025-04-15,5528.79,5594.2,5455.51,5541.54,5541.54,3436072887
2025-04-16,5563.57,5571.46,5526.96,5563.28,5563.28,2540642865
