Date,Open,High,Low,Close,Adj_Close,Volume
2024-11-10,4.02,4.05,3.99,4.0,4.0,45050235
2024-11-11,3.98,4.07,3.98,3.98,3.98,39860867
2024-11-12,3.95,4.03,3.91,3.94,3.94,21243255
2024-11-13,4.04,4.03,4.01,4.03,4.03,57012553
2024-11-14,3.96,4.0,3.92,3.96,3.96,51033736
2024-11-15,3.95,3.99,3.93,3.97,3.97,40924270
2024-11-16,4.05,4.07,4.0,4.02,4.02,38908054
2024-11-17,4.01,4.03,3.97,4.0,4.0,55239932
2024-11-18,3.96,3.98,3.91,3.96,3.96,49229439
2024-11-19,3.91,3.98,3.91,3.91,3.91,47832695
2024-11-20,3.94,3.99,3.86,3.94,3.94,40668028
2024-11-21,3.92,3.93,3.89,3.92,3.92,64212960
2024-11-22,3.88,3.93,3.87,3.88,3.88,52839066
2024-11-23,3.82,3.85,3.78,3.82,3.82,44414439
2024-11-24,3.79,3.81,3.76,3.79,3.79,57206904
2024-11-25,3.82,3.83,3.8,3.83,3.83,58389101
2024-11-26,3.87,3.89,3.82,3.85,3.85,50677912
2024-11-27,3.85,3.92,3.8,3.85,3.85,39251775
2024-11-28,3.82,3.86,3.81,3.83,3.83,40712903
2024-11-29,3.8,3.81,3.8,3.81,3.81,35239249
2024-11-30,3.76,3.75,3.7,3.75,3.75,42550500
2024-12-01,3.77,3.83,3.72,3.77,3.77,53778096
2024-12-02,3.78,3.79,3.73,3.77,3.77,60630591
2024-12-03,3.77,3.8,3.74,3.77,3.77,56324808
2024-12-04,3.78,3.84,3.78,3.78,3.78,42953106
2024-12-05,3.82,3.86,3.75,3.82,3.82,67182470
2024-12-06,3.86,3.87,3.81,3.84,3.84,50539275
2024-12-07,3.76,3.78,3.73,3.77,3.77,38122838
2024-12-08,3.74,3.76,3.7,3.75,3.75,30564805
2024-12-09,3.75,3.79,3.76,3.77,3.77,44230160
2024-12-10,3.77,3.83,3.72,3.77,3.77,45072625
2024-12-11,3.74,3.78,3.74,3.75,3.75,58885414
2024-12-12,3.74,3.76,3.73,3.74,3.74,41146172
2024-12-13,3.8,3.9,3.78,3.81,3.81,59079507
2024-12-14,3.85,3.87,3.85,3.86,3.86,62647295
2024-12-15,3.86,3.87,3.82,3.87,3.87,34763718
2024-12-16,3.83,3.85,3.8,3.85,3.85,70272485
2024-12-17,3.89,3.96,3.87,3.87,3.87,44638307
2024-12-18,3.92,3.93,3.89,3.91,3.91,48931416
2024-12-19,3.94,3.98,3.87,3.93,3.93,49784889
2024-12-20,3.88,3.96,3.83,3.89,3.89,52407727
2024-12-21,3.89,3.9,3.8,3.89,3.89,51973844
2024-12-22,3.91,3.93,3.86,3.9,3.9,39394397
2024-12-23,3.88,3.86,3.79,3.86,3.86,46786876
2024-12-24,3.86,3.87,3.84,3.87,3.87,51011388
2024-12-25,3.91,3.93,3.86,3.89,3.89,49325686
2024-12-26,3.92,3.94,3.85,3.92,3.92,53334114
2024-12-27,3.97,4.02,3.88,3.97,3.97,35048909
2024-12-28,3.92,3.99,3.92,3.92,3.92,41175999
2024-12-29,3.93,3.97,3.92,3.93,3.93,62014338
2024-12-30,3.91,3.92,3.84,3.91,3.91,40161171
2024-12-31,3.93,3.95,3.9,3.95,3.95,37326151
2025-01-01,3.99,4.0,3.97,3.99,3.99,46118309
2025-01-02,3.94,4.0,3.89,3.94,3.94,41493314
2025-01-03,3.94,3.96,3.93,3.93,3.93,53031352
2025-01-04,3.9,3.92,3.87,3.89,3.89,45816033
2025-01-05,3.88,3.92,3.82,3.89,3.89,36978260
2025-01-06,3.89,3.91,3.87,3.89,3.89,46717000
2025-01-07,3.94,3.95,3.94,3.94,3.94,57543195
2025-01-08,3.97,3.97,3.96,3.96,3.96,43227986
2025-01-09,4.01,4.01,3.97,4.01,4.01,54661739
2025-01-10,4.04,4.05,4.03,4.05,4.05,50246250
2025-01-11,4.01,4.05,3.95,4.01,4.01,49316708
2025-01-12,3.99,4.01,3.98,4.01,4.01,62521903
2025-01-13,4.06,4.1,4.04,4.05,4.05,49883996
2025-01-14,4.11,4.11,4.1,4.11,4.11,47586727
2025-01-15,4.16,4.15,4.09,4.14,4.14,72904006
2025-01-16,4.09,4.14,4.04,4.07,4.07,55809123
2025-01-17,4.1,4.1,4.05,4.09,4.09,43297577
2025-01-18,4.08,4.12,4.05,4.09,4.09,58749904
2025-01-19,4.14,4.13,4.09,4.13,4.13,40727150
2025-01-20,4.08,4.11,4.08,4.1,4.1,48443573
2025-01-21,4.12,4.16,4.06,4.1,4.1,44475519
2025-01-22,4.09,4.12,4.07,4.09,4.09,38090060
2025-01-23,4.15,4.2,4.1,4.15,4.15,55076917
2025-01-24,4.19,4.25,4.15,4.17,4.17,39321783
2025-01-25,4.16,4.21,4.16,4.17,4.17,49102007
2025-01-26,4.14,4.15,4.1,4.14,4.14,37504432
2025-01-27,4.11,4.13,4.03,4.13,4.13,51589154
2025-01-28,4.19,4.25,4.14,4.2,4.2,58410044
2025-01-29,4.19,4.25,4.19,4.19,4.19,55158068
2025-01-30,4.29,4.3,4.28,4.28,4.28,34102733
2025-01-31,4.3,4.31,4.28,4.29,4.29,33821729
2025-02-01,4.23,4.32,4.16,4.24,4.24,57264939
2025-02-02,4.29,4.31,4.25,4.29,4.29,48371266
2025-02-03,4.24,4.21,4.19,4.21,4.21,53853212
