Date,Open,High,Low,Close,Adj_Close,Volume
2024-11-10,402.09,403.75,399.56,400.0,400.0,40322556
2024-11-11,393.18,397.72,394.84,395.86,395.86,44110294
2024-11-12,398.55,404.73,399.26,400.0,400.0,56907772
2024-11-13,401.79,403.06,399.69,401.34,401.34,38813043
2024-11-14,393.94,398.81,391.7,395.49,395.49,41171710
2024-11-15,392.49,394.57,392.77,393.4,393.4,57448193
2024-11-16,401.16,401.3,397.51,400.09,400.09,61610683
2024-11-17,388.51,390.77,389.94,390.58,390.58,45924874
2024-11-18,388.91,390.04,387.96,389.1,389.1,52440269
2024-11-19,393.64,400.47,392.33,394.23,394.23,36908346
2024-11-20,388.95,391.17,386.99,391.01,391.01,43341430
2024-11-21,388.99,388.88,385.05,388.55,388.55,53254636
2024-11-22,389.55,389.05,386.31,388.37,388.37,32910082
2024-11-23,393.73,397.43,394.17,394.36,394.36,25569242
2024-11-24,391.23,397.25,385.18,392.04,392.04,39152312
2024-11-25,390.64,392.08,387.78,390.49,390.49,65169736
2024-11-26,387.65,391.08,388.2,388.99,388.99,65201664
2024-11-27,398.85,398.72,393.66,397.77,397.77,61999876
2024-11-28,408.84,407.52,400.2,406.66,406.66,53101225
2024-11-29,410.46,415.97,408.89,410.95,410.95,51104531
2024-11-30,411.19,417.54,411.95,412.74,412.74,52619891
2024-12-01,416.15,422.98,415.51,415.99,415.99,37374562
2024-12-02,421.99,428.12,419.92,422.4,422.4,51040607
2024-12-03,418.73,419.56,411.74,418.66,418.66,60644226
2024-12-04,421.41,423.84,417.44,423.79,423.79,44012682
2024-12-05,419.86,423.02,418.18,418.69,418.69,53850661
2024-12-06,417.07,420.37,413.47,416.23,416.23,64924553
2024-12-07,420.24,424.57,415.83,420.21,420.21,44181497
2024-12-08,411.39,416.95,411.1,414.42,414.42,36928218
2024-12-09,410.78,417.83,413.23,414.05,414.05,62587213
2024-12-10,411.99,413.36,402.33,410.69,410.69,60303793
2024-12-11,407.99,419.27,407.71,409.84,409.84,47676426
2024-12-12,397.32,401.66,397.75,398.58,398.58,55678800
2024-12-13,392.08,393.92,391.62,391.71,391.71,48579492
2024-12-14,388.86,392.29,388.7,389.17,389.17,59295844
2024-12-15,391.81,398.12,387.52,392.97,392.97,44655527
2024-12-16,392.98,398.97,391.75,392.49,392.49,48671988
2024-12-17,391.41,400.47,391.3,392.69,392.69,55685042
2024-12-18,395.95,396.38,393.22,395.59,395.59,52437657
2024-12-19,391.62,400.44,389.66,392.31,392.31,46520356
2024-12-20,394.33,395.19,391.8,393.62,393.62,38683590
2024-12-21,391.19,393.53,388.16,390.65,390.65,35821055
2024-12-22,385.2,385.98,383.58,384.09,384.09,67843567
2024-12-23,382.78,389.05,382.16,382.78,382.78,56319482
2024-12-24,384.63,389.27,379.78,385.17,385.17,62205689
2024-12-25,383.43,387.76,380.67,386.67,386.67,34127935
2024-12-26,386.74,387.1,383.19,386.82,386.82,49043472
2024-12-27,397.64,396.55,389.48,396.26,396.26,43172352
2024-12-28,399.37,402.63,398.02,398.1,398.1,53432579
2024-12-29,400.42,402.42,401.08,402.19,402.19,50060293
2024-12-30,410.18,418.66,405.81,411.4,411.4,55056858
2024-12-31,406.39,407.49,402.75,406.28,406.28,47664960
2025-01-01,403.78,407.81,401.19,402.26,402.26,59743862
2025-01-02,411.85,410.6,409.0,409.48,409.48,51914823
2025-01-03,407.6,409.29,401.74,406.41,406.41,51602937
2025-01-04,406.93,409.76,403.79,406.74,406.74,33395249
2025-01-05,414.45,413.92,405.6,411.29,411.29,50349025
2025-01-06,415.37,416.33,408.28,415.16,415.16,52753418
2025-01-07,423.81,425.11,416.97,422.65,422.65,37264297
2025-01-08,429.53,434.29,426.02,429.18,429.18,46277282
2025-01-09,436.54,439.3,432.47,433.99,433.99,39163223
2025-01-10,431.21,432.85,430.43,430.85,430.85,65959211
2025-01-11,435.19,437.25,429.72,434.49,434.49,45843806
2025-01-12,435.29,437.92,431.3,436.08,436.08,46202696
2025-01-13,431.26,430.86,426.22,430.51,430.51,47655850
2025-01-14,435.83,437.8,431.98,436.83,436.83,43456189
2025-01-15,439.68,441.01,431.6,440.57,440.57,47041709
2025-01-16,438.9,449.82,438.12,440.99,440.99,40934104
2025-01-17,440.31,444.99,431.14,440.18,440.18,58009296
2025-01-18,434.32,441.99,431.34,435.13,435.13,68044363
2025-01-19,435.28,436.32,433.22,436.22,436.22,40274436
2025-01-20,439.64,440.19,433.49,438.48,438.48,38257296
2025-01-21,436.07,436.2,433.52,435.05,435.05,48436402
2025-01-22,437.44,442.18,439.85,440.33,440.33,50470024
2025-01-23,434.83,441.04,432.24,435.71,435.71,43949873
2025-01-24,426.46,426.86,424.0,426.68,426.68,66421827
2025-01-25,431.03,438.66,423.72,431.33,431.33,35180415
2025-01-26,429.86,435.27,428.23,429.81,429.81,56283201
2025-01-27,430.61,436.16,422.27,429.48,429.48,53522715
2025-01-28,426.25,430.11,423.51,426.1,426.1,46922256
2025-01-29,419.92,422.36,418.05,419.47,419.47,60831988
2025-01-30,422.93,426.01,421.53,424.94,424.94,48724378
2025-01-31,420.29,422.32,422.03,422.23,422.23,60744651
2025-02-01,430.49,434.27,426.13,429.45,429.45,59528308
2025-02-02,435.23,433.52,429.24,433.13,433.13,53809214
2025-02-03,434.09,432.86,428.43,431.99,431.99,45028398
